backbone,dataset,label_budget_per_class,mean_accuracy,mean_accuracy_delta_vs_fp32_cpu,mean_best_deployment_improvement_vs_fp32_cpu,mean_latency_ms_per_example,mean_latency_reduction_vs_fp32_cpu,mean_macro_f1,mean_macro_f1_delta_vs_fp32_cpu,mean_model_size_mb,mean_model_size_reduction_vs_fp32_cpu,mean_peak_memory_mb,mean_throughput_examples_per_second,mean_throughput_gain_vs_fp32_cpu,method,n
albert-base-v2,cola,128,0.578125,-0.005208333333333333,12.915330833040215,0.9982605190104484,0.9280125000671705,0.5162134237184948,-0.005865944375640882,44.58638572692871,0.0,88.85856119791667,1002.14863404285,12.915330833040215,bf16_gpu,3
albert-base-v2,cola,128,0.5078125,-0.07552083333333333,0.4989038991332931,9.541217980989577,0.31269123575300456,0.40487751589910986,-0.11720185219502571,22.370460510253906,0.4982670125526034,0.0,104.99939355360829,0.4563499153623432,dynamic_int8_cpu,3
albert-base-v2,cola,128,0.5833333333333334,0.0,0.0,13.888837091666653,0.0,0.5220793680941356,0.0,44.58638572692871,0.0,0.0,72.13098093226962,0.0,fp32_cpu,3
albert-base-v2,cola,128,0.5833333333333334,0.0,14.760636197350161,0.8810212726563312,0.9365248024305356,0.5220793680941356,0.0,44.58638572692871,0.0,76.52360026041667,1136.1013538952486,14.760636197350161,fp32_gpu,3
albert-base-v2,cola,256,0.6315104166666666,-0.0013020833333333333,12.01453774776694,1.189798194270845,0.9223118150744576,0.6174094693812069,-0.0012704584713828515,44.58638572692871,0.0,88.85856119791667,849.9930243438847,12.01453774776694,bf16_gpu,3
albert-base-v2,cola,256,0.4921875,-0.140625,0.5266484511635514,10.319743627864616,0.3258223029796916,0.37093487183903096,-0.24774505601355878,22.370460510253906,0.4982670125526034,0.0,96.99309002743654,0.486373985995506,dynamic_int8_cpu,3
albert-base-v2,cola,256,0.6328125,0.0,0.0,15.35836862786463,0.0,0.6186799278525897,0.0,44.58638572692871,0.0,0.0,65.47017854112248,0.0,fp32_cpu,3
albert-base-v2,cola,256,0.6328125,0.0,13.064834924716138,1.1046788302084092,0.9279242067784427,0.6186799278525897,0.0,44.58638572692871,0.0,76.52360026041667,919.3030485664594,13.064834924716138,fp32_gpu,3
albert-base-v2,cola,64,0.546875,-0.0013020833333333333,13.192770240245368,0.983304954687488,0.9293271632421027,0.5107309625545404,-0.00222851242240892,44.58638572692871,0.0,88.85856119791667,1017.117326259171,13.192770240245368,bf16_gpu,3
albert-base-v2,cola,64,0.4986979166666667,-0.049479166666666664,0.5032495795648433,9.46184536562503,0.3218664794003921,0.34154035435855257,-0.17141912061839676,22.370460510253906,0.4982670125526034,0.0,106.03421533979908,0.47536698817241985,dynamic_int8_cpu,3
