mean_accuracy,mean_accuracy_delta,mean_best_deployment_improvement,mean_latency_ms_per_example,mean_macro_f1,mean_macro_f1_delta,mean_model_size_mb,mean_peak_memory_mb,mean_throughput_examples_per_second,method,n
0.6466145833333333,6.944444444444444e-05,29.255056681265454,0.8474711091424751,0.6246212557186264,2.1365457138038144e-05,239.25408109029135,373.1023849826389,1251.9923276061172,bf16_gpu,225
0.5719618055555555,-0.07458333333333333,0.5665750166455592,16.94229320356593,0.5084274133002119,-0.1161724769612764,109.24908192952473,0.0,84.48906286092543,dynamic_int8_cpu,225
0.6465451388888889,,,25.997125251576342,0.6245998902614883,,239.25408109029135,0.0,54.40361682060597,fp32_cpu,225
0.6465451388888889,0.0,32.739330610307576,0.7370940611909944,0.6245998902614883,0.0,239.25408109029135,283.7011263020833,1464.2644597861597,fp32_gpu,225
