backbone,dataset,label_budget_per_class,mean_accuracy,mean_accuracy_delta_vs_fp32_cpu,mean_best_deployment_improvement_vs_fp32_cpu,mean_latency_ms_per_example,mean_latency_reduction_vs_fp32_cpu,mean_macro_f1,mean_macro_f1_delta_vs_fp32_cpu,mean_model_size_mb,mean_model_size_reduction_vs_fp32_cpu,mean_peak_memory_mb,mean_throughput_examples_per_second,mean_throughput_gain_vs_fp32_cpu,method,n
albert-base-v2,cola,128,0.54453125,-0.0015625,13.895643763309094,0.9230602479692607,0.9326129164236568,0.44996992747556813,-0.0021478558623015285,44.58638572692871,0.0,88.72568359375,1083.424371807463,13.895643763309094,bf16_gpu,5
albert-base-v2,cola,128,0.5125,-0.03359375,0.5092508412685426,9.174362856561515,0.3326475913683209,0.45908415363089244,0.0069663702930228165,22.370460510253906,0.4982670125526034,0.0,109.42481950232363,0.4989612494103833,dynamic_int8_cpu,5
albert-base-v2,cola,128,0.54609375,0.0,0.0,13.745785306093126,0.0,0.45211778333786967,0.0,44.58638572692871,0.0,0.0,72.98872341170583,0.0,fp32_cpu,5
albert-base-v2,cola,128,0.54609375,0.0,15.642743807898533,0.8258958884380263,0.939759695359455,0.45211778333786967,0.0,44.58638572692871,0.0,76.38447265625,1211.5878030187855,15.642743807898533,fp32_gpu,5
albert-base-v2,cola,256,0.60078125,0.0,13.783358242592634,0.9147135645321214,0.9321130822302283,0.5296535387332977,0.00010488319060515394,44.58638572692871,0.0,88.72568359375,1093.4291710971424,13.783358242592634,bf16_gpu,5
albert-base-v2,cola,256,0.4921875,-0.10859375,0.5255810965250692,8.941739921719432,0.33887098804144333,0.4335351210922566,-0.09601353445043588,22.370460510253906,0.4982670125526034,0.0,112.43935972716613,0.5143246640108186,dynamic_int8_cpu,5
albert-base-v2,cola,256,0.60078125,0.0,0.0,13.51559997765662,0.0,0.5295486555426925,0.0,44.58638572692871,0.0,0.0,74.19180791420675,0.0,fp32_cpu,5
albert-base-v2,cola,256,0.60078125,0.0,15.40589825326526,0.8238180973438602,0.9389084908211894,0.5295486555426925,0.0,44.58638572692871,0.0,76.38447265625,1214.4361212278147,15.40589825326526,fp32_gpu,5
albert-base-v2,cola,64,0.53671875,-0.0015625,13.915966118534117,0.9143825128126082,0.9326221176818408,0.5009371351213089,-0.0013588083764777049,44.58638572692871,0.0,88.72568359375,1094.7214285524055,13.915966118534117,bf16_gpu,5
albert-base-v2,cola,64,0.5125,-0.02578125,0.5158781440602708,9.243841277030356,0.3207454978139244,0.46291511886360576,-0.03938082463418087,22.370460510253906,0.4982670125526034,0.0,108.50293967453531,0.4744854292696631,dynamic_int8_cpu,5
albert-base-v2,cola,64,0.53828125,0.0,0.0,13.621239457811498,0.0,0.5022959434977866,0.0,44.58638572692871,0.0,0.0,73.66061365847973,0.0,fp32_cpu,5
albert-base-v2,cola,64,0.53828125,0.0,15.601561657750727,0.8214108337500647,0.9394694659829543,0.5022959434977866,0.0,44.58638572692871,0.0,76.38447265625,1218.3634835348873,15.601561657750727,fp32_gpu,5
bert-base-uncased,cola,128,0.6703125,0.00078125,11.714517546535058,0.9937061381249634,0.9210368887066539,0.6621675357531832,0.0009978250245250785,417.7237939834595,0.0,626.46884765625,1006.3927582622271,11.714517546535058,bf16_gpu,5
bert-base-uncased,cola,128,0.61640625,-0.053125,0.5893594596874354,8.005540340312507,0.3663792893118251,0.5799071533574452,-0.0812625573712128,173.08754062652588,0.585641174576281,0.0,125.43442452347003,0.5784054520474742,dynamic_int8_cpu,5
bert-base-uncased,cola,128,0.66953125,0.0,0.0,12.634251065781257,0.0,0.661169710728658,0.0,417.7237939834595,0.0,0.0,79.46464272967717,0.0,fp32_cpu,5
bert-base-uncased,cola,128,0.66953125,0.0,16.132968741975237,0.7368670093747198,0.9415171735547163,0.661169710728658,0.0,417.7237939834595,0.0,445.90712890625,1357.6736242932113,16.132968741975237,fp32_gpu,5
bert-base-uncased,cola,256,0.70703125,0.0,11.706576079981772,0.9930701584376322,0.9208952934150286,0.698713421776759,0.0,417.7237939834595,0.0,626.46884765625,1006.9977575660484,11.706576079981772,bf16_gpu,5
bert-base-uncased,cola,256,0.6921875,-0.01484375,0.5870165223796368,8.018451305937617,0.3643978509906266,0.6883441438218787,-0.010369277954880341,173.08754062652588,0.585641174576281,0.0,125.30427480963364,0.5734496890316878,dynamic_int8_cpu,5
bert-base-uncased,cola,256,0.70703125,0.0,0.0,12.615808567187514,0.0,0.698713421776759,0.0,417.7237939834595,0.0,0.0,79.640545975967,0.0,fp32_cpu,5
bert-base-uncased,cola,256,0.70703125,0.0,15.87920545046842,0.7467479684375178,0.9406225526400724,0.698713421776759,0.0,417.7237939834595,0.0,445.90712890625,1339.9225529883481,15.87920545046842,fp32_gpu,5
bert-base-uncased,cola,64,0.6015625,0.0,11.417819479728196,0.9979490098437793,0.9192815140602941,0.5988398735293765,-0.00011472475309834974,417.7237939834595,0.0,626.46884765625,1002.0944159486369,11.417819479728196,bf16_gpu,5
bert-base-uncased,cola,64,0.5234375,-0.078125,0.5883694615790518,7.986137449062625,0.35578484473593686,0.41768568773881054,-0.1812689105436643,173.08754062652588,0.585641174576281,0.0,125.64878130849861,0.5528272617588199,dynamic_int8_cpu,5
bert-base-uncased,cola,64,0.6015625,0.0,0.0,12.394005975624935,0.0,0.5989545982824749,0.0,417.7237939834595,0.0,0.0,80.8994135809658,0.0,fp32_cpu,5
bert-base-uncased,cola,64,0.6015625,0.0,15.341499481525533,0.7582264770312008,0.9387613180643369,0.5989545982824749,0.0,417.7237939834595,0.0,445.90712890625,1320.6424214236579,15.341499481525533,fp32_gpu,5
